gender,Age,Attitude,deep,stra,surf,Points
F,53,37,3.5833333333333335,3.375,2.5833333333333335,25
M,55,31,2.9166666666666665,2.75,3.1666666666666665,12
F,49,25,3.5,3.625,2.25,24
M,53,35,3.5,3.125,2.25,10
M,49,37,3.6666666666666665,3.625,2.8333333333333335,22
F,38,38,4.75,3.625,2.4166666666666665,21
M,50,35,3.8333333333333335,2.25,1.9166666666666667,21
F,37,29,3.25,4,2.8333333333333335,31
M,37,38,4.333333333333333,4.25,2.1666666666666665,24
F,42,21,4,3.5,3,26
M,37,39,3.5833333333333335,3.625,2.6666666666666665,31
F,34,38,3.8333333333333335,4.75,2.4166666666666665,31
F,34,24,4.25,3.625,2.25,23
F,34,30,3.3333333333333335,3.5,2.75,25
M,35,26,4.166666666666667,1.75,2.3333333333333335,21
F,33,41,3.6666666666666665,3.875,2.3333333333333335,31
F,32,26,4.083333333333333,1.375,2.9166666666666665,20
F,44,26,3.5,3.25,2.5,22
M,29,17,4.083333333333333,3,3.75,9
F,30,27,4,3.75,2.75,24
M,27,39,3.9166666666666665,2.625,2.3333333333333335,28
M,29,34,4,2.375,2.4166666666666665,30
F,31,27,4,3.625,3,24
F,37,23,3.6666666666666665,2.75,2.4166666666666665,9
F,26,37,3.6666666666666665,1.75,2.8333333333333335,26
F,26,44,4.416666666666667,3.25,3.1666666666666665,32
M,30,41,3.9166666666666665,4,3,32
F,33,37,3.75,3.625,2,33
F,33,25,3.25,2.875,3.5,29
M,28,30,3.5833333333333335,3,3.75,30
M,26,34,4.916666666666667,1.625,2.5,19
F,27,32,3.5833333333333335,3.25,2.0833333333333335,23
F,25,20,2.9166666666666665,3.5,2.4166666666666665,19
F,31,24,3.6666666666666665,3,2.5833333333333335,12
M,20,42,4.5,3.25,1.5833333333333333,10
F,39,16,4.083333333333333,1.875,2.8333333333333335,11
M,38,31,3.8333333333333335,4.375,1.8333333333333333,20
M,24,38,3.25,3.625,2.4166666666666665,26
M,26,38,2.3333333333333335,2.5,3.25,31
M,25,33,3.3333333333333335,1.25,3.4166666666666665,20
F,30,17,4.083333333333333,4,3.4166666666666665,23
F,25,25,2.9166666666666665,3,3.1666666666666665,12
M,30,32,3.3333333333333335,2.5,3.5,24
F,48,35,3.8333333333333335,4.875,2.6666666666666665,17
F,24,32,3.6666666666666665,5,2.4166666666666665,29
F,40,42,4.666666666666667,4.375,3.5833333333333335,23
M,25,31,3.75,3.25,2.0833333333333335,28
F,23,39,3.4166666666666665,4,3.75,31
F,25,19,4.166666666666667,3.125,2.9166666666666665,23
F,23,21,2.9166666666666665,2.5,2.9166666666666665,25
M,27,25,4.166666666666667,3.125,2.4166666666666665,18
M,25,32,3.5833333333333335,3.25,3,19
M,23,32,2.8333333333333335,2.125,3.4166666666666665,22
F,23,26,4,2.75,2.9166666666666665,25
F,23,23,2.9166666666666665,2.375,3.25,21
F,45,38,3,3.125,3.25,9
F,22,28,4.083333333333333,4,2.3333333333333335,28
F,23,33,2.9166666666666665,4,3.25,25
M,21,48,3.5,2.25,2.5,29
M,21,40,4.333333333333333,3.25,1.75,33
F,21,40,4.25,3.625,2.25,33
F,21,47,3.4166666666666665,3.625,2.0833333333333335,25
F,26,23,3.0833333333333335,2.5,2.8333333333333335,18
F,25,31,4.583333333333333,1.875,2.8333333333333335,22
F,26,27,3.4166666666666665,2,2.4166666666666665,17
M,21,41,3.4166666666666665,1.875,2.25,25
F,23,34,3.4166666666666665,4,2.8333333333333335,28
F,22,25,3.5833333333333335,2.875,2.25,22
F,22,21,1.5833333333333333,3.875,1.8333333333333333,26
F,22,14,3.3333333333333335,2.5,2.9166666666666665,11
F,23,19,4.333333333333333,2.75,2.9166666666666665,29
M,22,37,4.416666666666667,4.5,2.0833333333333335,22
M,23,32,4.833333333333333,3.375,2.3333333333333335,21
M,24,28,3.0833333333333335,2.625,2.4166666666666665,28
F,22,41,3,4.125,2.75,33
F,23,25,4.083333333333333,2.625,3.25,16
M,22,28,4.083333333333333,2.25,1.75,31
M,20,38,3.75,2.75,2.5833333333333335,22
M,22,31,3.0833333333333335,3,3.3333333333333335,31
M,21,35,4.75,1.625,2.8333333333333335,23
F,22,36,4.25,1.875,2.5,26
F,23,26,4.166666666666667,3.375,2.4166666666666665,12
M,21,44,4.416666666666667,3.75,2.4166666666666665,26
M,22,45,3.8333333333333335,2.125,2.5833333333333335,31
M,29,32,3.3333333333333335,2.375,3,19
F,29,39,3.1666666666666665,2.75,2,30
F,21,25,3.1666666666666665,3.125,3.4166666666666665,12
M,28,33,3.8333333333333335,3.5,2.8333333333333335,17
F,21,33,4.25,2.625,2.25,18
F,30,30,3.8333333333333335,3.375,2.75,19
F,21,29,3.6666666666666665,2.25,3.9166666666666665,21
M,23,33,3.8333333333333335,3,2.3333333333333335,24
F,21,33,3.8333333333333335,4,2.75,28
F,21,35,3.8333333333333335,3.5,2.75,17
F,20,36,3.6666666666666665,2.625,2.9166666666666665,18
M,22,37,4.333333333333333,2.5,2.0833333333333335,17
M,21,42,3.75,3.75,3.6666666666666665,23
M,21,32,4.166666666666667,3.625,2.8333333333333335,26
F,20,50,4,4.125,3.4166666666666665,28
M,22,47,4,4.375,1.5833333333333333,31
F,20,36,4.583333333333333,2.625,2.9166666666666665,27
F,20,36,3.6666666666666665,4,3,25
M,24,29,3.6666666666666665,2.75,2.9166666666666665,23
F,20,35,3.8333333333333335,2.75,2.6666666666666665,21
F,19,40,2.5833333333333335,1.375,3,27
F,21,35,3.5,2.25,2.75,28
F,21,32,3.0833333333333335,3.625,3.0833333333333335,23
F,22,26,4.25,3.75,2.5,21
F,25,20,3.1666666666666665,4,2.3333333333333335,25
F,21,27,3.0833333333333335,3.125,3,11
F,22,32,4.166666666666667,3.25,3,19
F,25,33,2.25,2.125,4,24
F,20,39,3.3333333333333335,2.875,3.25,28
M,24,33,3.0833333333333335,1.5,3.5,21
F,20,30,2.75,2.5,3.5,24
M,21,37,3.25,3.25,3.8333333333333335,24
F,20,25,4,3.625,2.9166666666666665,20
F,20,29,3.5833333333333335,3.875,2.1666666666666665,19
M,31,39,4.083333333333333,3.875,1.6666666666666667,30
F,20,36,4.25,2.375,2.0833333333333335,22
F,22,29,3.4166666666666665,3,2.8333333333333335,16
F,22,21,3.0833333333333335,3.375,3.4166666666666665,16
M,21,31,3.5,2.75,3.3333333333333335,19
M,22,40,3.6666666666666665,4.5,2.5833333333333335,30
F,21,31,4.25,2.625,2.8333333333333335,23
F,21,23,4.25,2.75,3.3333333333333335,19
F,21,28,3.8333333333333335,3.25,3,18
F,21,37,4.416666666666667,4.125,2.5833333333333335,28
F,20,26,3.5,3.375,2.4166666666666665,21
F,21,24,3.5833333333333335,2.75,3.5833333333333335,19
F,25,30,3.6666666666666665,4.125,2.0833333333333335,27
M,21,28,2.0833333333333335,3.25,4.333333333333333,24
F,24,29,4.25,2.875,2.6666666666666665,21
F,20,24,3.5833333333333335,2.875,3,20
M,21,31,4,2.375,2.6666666666666665,28
F,20,19,3.3333333333333335,3.875,2.1666666666666665,12
F,20,20,3.5,2.125,2.6666666666666665,21
F,18,38,3.1666666666666665,4,2.25,28
F,21,34,3.5833333333333335,3.25,2.6666666666666665,31
F,19,37,3.4166666666666665,2.625,3.3333333333333335,18
F,21,29,4.25,2.75,3.5,25
F,20,23,3.25,4,2.75,19
M,21,41,4.416666666666667,3,2,21
F,20,27,3.25,3.375,2.8333333333333335,16
F,21,35,3.9166666666666665,3.875,3.5,7
F,20,34,3.5833333333333335,3.25,2.5,21
F,18,32,4.5,3.375,3.1666666666666665,17
M,22,33,3.5833333333333335,4.125,3.0833333333333335,22
F,22,33,3.6666666666666665,3.5,2.9166666666666665,18
M,24,35,2.5833333333333335,2,3.1666666666666665,25
F,19,32,4.166666666666667,3.625,2.5,24
F,20,31,3.25,3.375,3.8333333333333335,23
F,20,28,4.333333333333333,2.125,2.25,23
F,17,17,3.9166666666666665,4.625,3.4166666666666665,26
M,19,19,2.6666666666666665,2.5,3.75,12
F,20,35,3.0833333333333335,2.875,3,32
F,20,24,3.75,2.75,2.5833333333333335,22
F,20,21,4.166666666666667,4,3.3333333333333335,20
F,20,29,4.166666666666667,2.375,2.8333333333333335,21
F,19,19,3.25,3.875,3,23
F,19,20,4.083333333333333,3.375,2.8333333333333335,20
F,22,42,2.9166666666666665,1.75,3.1666666666666665,28
M,35,41,3.8333333333333335,3,2.75,31
F,18,37,3.1666666666666665,2.625,3.4166666666666665,18
F,19,36,3.4166666666666665,2.625,3,30
M,21,18,4.083333333333333,3.375,2.6666666666666665,19
